"city","category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Ontheway cafe","106047台北市大安區通化街19巷11號","","Ontheway Cafe","通化街19巷11號","ChIJwULL8HGrQjQRA6ItmnwdWDo","https://maps.google.com/?cid=4204142673150190083&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","APU cafe","永和區永和路一段83號一樓","https://www.facebook.com/APUcoffee/","APU COFFEE","永和路一段83號號","ChIJiUEdu8KpQjQRclg7i0_bu9g","https://maps.google.com/?cid=15617317267522148466&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","伯朗咖啡(重慶三店)","	 台北市大同區重慶北路三段57號","","Mr. Brown 伯朗咖啡館 - 重慶門市","重慶北路三段57號","ChIJUy_Ea0apQjQRS0ssU2l4icI","https://maps.google.com/?cid=14017867708929690443&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Moooon River Cafe & Books","台北市內湖區瑞光路218號","https://www.facebook.com/moooonriver/","Moooon River Cafe & Books","瑞光路218號","ChIJGU76QnusQjQRAD2eqE5ds4A","https://maps.google.com/?cid=9273858650103758080&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","OD Café","台北市大安區溫州街58巷2號","https://m.facebook.com/okeydokey.gallery.cafe/?locale2=zh_TW","OD Cafe","溫州街58巷2號","ChIJD9-v4YipQjQRIaUB3M1MyGg","https://maps.google.com/?cid=7550369222329738529&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","澤山珈琲","10450 台北市台北市中山區中山北路二段59巷41弄5號","https://www.facebook.com/zeshancoffee/","澤山珈琲 x 宝 · 妹","中山北路二段59巷41弄5號","ChIJ07Fz3NupQjQRS1i6_BE8uAo","https://maps.google.com/?cid=772433384046221387&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","古月珈琲","台北市汀州路4段144號","https://www.facebook.com/goodwaycoffee/","古月珈琲","汀州路四段144號","ChIJX90lOPapQjQRDJtEtS1vMUE","https://maps.google.com/?cid=4697658128429521676&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","童心未泯咖啡館","台北市大同區南京西路239巷33號","https://www.facebook.com/childishcafe/","童心未泯咖啡館 Childish Cafe","南京西路239巷33號","ChIJtZKRWCipQjQR3q1FuizrK4k","https://maps.google.com/?cid=9884252384530902494&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Lubar Cafe","新北市五股區新城八路416號","https://www.facebook.com/lubarcafe/posts/2242296626036296/","Lubar cafe","新城八路416號","ChIJE1IKuW-pQjQRn4zeHaXGbpQ","https://maps.google.com/?cid=10695704577524534431&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Honuscoffee-赫諾斯咖啡","台北市大安區和平東路二段118巷4-1號","https://www.facebook.com/HonusCoffee/","Honus Coffee 赫諾斯咖啡","和平東路二段118巷4-1號","ChIJaauk1C6qQjQRhT42IiWAgWM","https://maps.google.com/?cid=7170152978726665861&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
