"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","KURUMI哭哭咖啡二店","新竹縣竹北市嘉豐六路二段88號","https://m.facebook.com/kurumi2021/","KURUMI","嘉豐六路二段88號","ChIJxfsWkOg3aDQRALzhOx_-rh0","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","一天咖啡ONEDAY","新竹市東區東門街27號","https://mybzplus.tw/om3qoq27.html","一天咖啡ONEDAYCOFFEE","東門街27號","ChIJK6xv-cI1aDQRQ-Wo9cpNPyQ","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","沐咖啡","300新竹市東區光復路一段89巷131號","https://www.facebook.com/mu.cafe131/","沐 咖啡","光復路一段89巷131號","ChIJ20DmMy42aDQRdTN_lTS2EuA","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","boring coffee","新竹市東區世傑路228號","https://www.instagram.com/coffeeboring/","( boring coffee )","世傑路228號","ChIJI62wbIc3aDQREOemzNdN5o4","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","見域Kendama","新竹市北門街74號","www.facebook.com/kendamahsinchu/","見域","北門街54-78號","ChIJ2y13nzo1aDQRX_jxRBWhzug","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","莯Mu cafe&dessert","300新竹市東區光復路二段199號","","莯mu cafe dessert","光復路二段199號","ChIJ-UKJ63Q2aDQRJXlRwsQXKlU","",""
"review","No Google Places candidate found","","布蕾咖啡 Cafe Brûlée","新竹市東區長春街64巷2號","https://www.facebook.com/BruLeeCafe/","","","","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Oven Coffee sisi竹北店","新竹縣竹北市勝利八街一段185號","","sisi COFFEE","勝利八街一段185號","ChIJkVv1E-Q2aDQRd9Xqd8rGHw8","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","果子咖啡清大店","新竹市東區大學路1001號（國立清華大學南校區創新育成大樓1樓）","http://www.gozcafe.com/","果子咖啡新竹清大店","光復路二段101號","ChIJw0pCKnM2aDQRO3M-yqssUWA","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","喜歡咖啡","新竹市北區和福街115號","","喜歡咖啡館 Like Cafes","和福街115號","ChIJMz-c-EM1aDQRJq4szavWmrM","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","三隻貓","300新竹市北區平和街29號","","三隻貓","平和街29號","ChIJmzZfixc1aDQRthBExvabpGs","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Lambkin Cafe","302新竹縣竹北市嘉豐七街143號","https://m.facebook.com/Lambkincafe2011/","Lambkin Cafe' (無麩質蛋糕專賣.12點供應)","嘉豐七街143號","ChIJifYVzeVHaDQR-nLiZcxdFCM","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","李宅Not Only Café","300新竹市東區金山九街29號","https://www.facebook.com/notonlycafe.bar/","李宅Not Only Café","金山九街29號","ChIJSfaQrus1aDQR6QNV30Em2Bg","",""
