"city","category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","大樹書房","新北市淡水區中正路一段6巷36號(雲門劇場旁)","https://www.facebook.com/sptreehouse/","大樹書房（暫不開放租借）","中正路一段6巷36號","ChIJr7vAgK-lQjQRdtOfXvbr_Y0","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","共楽","台北市大同區赤峰街22號1樓","https://www.facebook.com/gunglok/","掙錢士多 Hustler Grocery Store (遺址)","103臺北市大同區赤峰街22號一樓","ChIJC1AUZFKpQjQRj3GMJU6M-CA","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","M式烘豆所咖啡館","新北市中和區連城路89巷18號1樓","http://site-m-roastery.strikingly.com/","[M式烘豆所咖啡館] 自家烘焙/咖啡豆批發/精品咖啡","連城路89巷18號","ChIJhfxRrHgCaDQRBYz0PwAA904","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","1+1 Together Republic Cafe","台北市中山區中山北路二段26巷10-1號","https://www.facebook.com/1plus1.Together.Republic/","1+1 Together Republic","號2F, No. 10-1中山北路二段26巷","ChIJD2fQFmmpQjQRfU8In2-BKWM","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","PIQUE NIQUE Cafe 野餐咖啡館","台北市北投區中央北路三段65號","https://www.facebook.com/PIQUENIQUE2015/","野餐咖啡館PIQUE NIQUE 暫時停止營業","中央北路三段53巷1號1F-1","ChIJaRAgia6vQjQRMfGNHE7kAII","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","In Natural Coffee 陽光夏","台北市中正區衡陽路15號","","In Natural Coffee 陽光夏","衡陽路15號1樓","ChIJe_9ySAupQjQR1h51jqsta-Y","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","艾斯糖 S Don Coffee","台北市大安區新生南路一段97巷13號","https://www.facebook.com/sdon.cafe/","艾斯糖 S Don","新生南路一段97巷13號","ChIJSxUVCH2pQjQRoSqSL2TxLGw","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","CO77EE","台北市南港區市民大道七段7號","https://www.facebook.com/Co77ee-77%E5%92%96%E5%95%A1-954789644564148/","Co77ee (市民77咖啡)","市民大道七段7號","ChIJcflKw52rQjQR9CikGvoi2zk","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","慢豆君MR.SLOW","10491台北市中山區明水路575號","","慢豆君MR.SLOW","明水路575號B1","ChIJ-YUXUPOtQjQRIImKtJInpYU","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","鮮烘咖啡工作室","台北市雲和街95號","https://m.facebook.com/HomeRoasCoffee/","鮮烘咖啡工作室 Home Roast Coffee","辛亥路一段87號","ChIJFcjfCHOpQjQRTrR0xncoVqs","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","藍色公路海景咖啡館","244新北市林口區瑞平村66號","https://www.facebook.com/BlueWay1016/","藍色公路海景咖啡館","瑞平里9鄰66號","ChIJ7SICAKumQjQRT57EHyqGBQU","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","AGCT Apartment","台北市大安區溫州街49巷2-2號3樓","https://www.facebook.com/AGCT.GROUP/","城市草倉 C-tea loft","羅斯福路三段283巷19弄4號","ChIJVdhfSompQjQR50KBTisA1u4","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","T-park cafe&eatery","台北市中山區林森北路107巷10號","https://www.facebook.com/TPARKCAFE/?fref=ts","DamnGood.TW","林森北路107巷10號1樓","ChIJC6TJX2-pQjQR9Oyt0Vpsc-8","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","Charming Chat Café(CCCafé)","112台北市北投區石牌路一段39巷136號","","Charming Chat Café(CCCafé)","號1樓, No. 136石牌路一段39巷","ChIJJfquzz2vQjQR0c0pTC6NMLU","",""
"taipei","review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","後台咖啡","台北市大安區羅斯福路四段1號 台大綜合體育館2樓206室及214室","https://www.facebook.com/jsbackstagecafe/","後台 Backstage Café","羅斯福路四段1號台大綜合體育館2樓206室","ChIJAS5-ZYipQjQRu-UeMiawBr4","",""
