"category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","Easy Coffee 現烘手沖咖啡店","雲林縣麥寮鄉中正路89號","","Easy Coffee 現烘手沖咖啡店","中正路89號","ChIJ89uYcVOvbjQRWpfhoVdtygk","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","樺鄉咖啡莊園","雲林縣古坑鄉桃源1-5號","http://blog.xuite.net/mr.coffee/cafe","樺鄉咖啡莊園","1號之5","ChIJVWJ4s73GbjQRHv4vxNVneu8","",""
"review","Google Places businessStatus = CLOSED_TEMPORARILY","CLOSED_TEMPORARILY","AOKI咖啡","雲林縣北港鎮太平路89號","","AOKI CAFE","太平路89號","ChIJ9xbj4IyibjQR6B8RAR7F588","",""
"suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","映星園咖啡自家烘培 instarland coffee","雲林縣北港鎮中華路2-9號","","映星園咖啡自家烘焙 instarland coffee","中華路2之9號","ChIJg6gSyFGjbjQRvXtcMl9AGQ8","",""
